_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#V1 ActAvg,#Output ActAvg
_D:,0,40,0.7637,0.03819,0.45,0.55,0.5415,0.07441,0.04796
_D:,0,41,0.1953,0.009764,0.12,0.88,0.874,0.07139,0.04767
_D:,0,42,0.1024,0.005118,0.06,0.94,0.9369,0.07122,0.04756
_D:,0,43,0.1142,0.005708,0.07,0.93,0.9323,0.07,0.04752
_D:,0,44,0.07098,0.003549,0.04,0.96,0.9579,0.07075,0.04751
_D:,0,45,0.06219,0.00311,0.04,0.96,0.9642,0.07074,0.0475
_D:,0,46,0.05167,0.002584,0.03,0.97,0.9684,0.07016,0.0475
_D:,0,47,0.1601,0.008005,0.09,0.91,0.9073,0.07007,0.0475
_D:,0,48,0.08932,0.004466,0.05,0.95,0.9474,0.0704,0.0475
_D:,0,49,0.05155,0.002577,0.04,0.96,0.9664,0.07055,0.0475
