_H:	|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#PctNameErr	#CosDiff	#PerTrlMSec	#OrthoCode ActAvg	#Hidden ActAvg
_D:	0	61	1.036	0.007402	0.2959	0.7041	0.2145	0.9556	29.66	0.09396	0.1118
_D:	0	62	1.021	0.007293	0.2596	0.7404	0.1947	0.913	28.38	0.09561	0.112
_D:	0	63	1.118	0.007989	0.3192	0.6808	0.2266	1.033	32.05	0.09603	0.1121
_D:	0	64	0.9334	0.006667	0.2721	0.7279	0.1982	0.988	30.54	0.09589	0.1123
_D:	0	65	1.055	0.007534	0.3076	0.6924	0.223	0.9943	30.9	0.09474	0.1114
_D:	0	66	0.8336	0.005954	0.2518	0.7482	0.1823	0.9247	28.58	0.09422	0.1123
_D:	0	67	0.8929	0.006378	0.2658	0.7342	0.181	0.9966	31.02	0.09673	0.1121
_D:	0	68	0.9071	0.006479	0.264	0.736	0.1911	0.9223	28.75	0.09662	0.1124
_D:	0	69	0.799	0.005707	0.2505	0.7495	0.1708	1.011	31.18	0.09677	0.1126
_D:	0	70	0.9272	0.006623	0.2433	0.7567	0.1766	0.973	30.16	0.09654	0.1126
_D:	0	71	0.9047	0.006462	0.2554	0.7446	0.1771	0.9723	30.28	0.09643	0.1117
_D:	0	72	0.8586	0.006133	0.2523	0.7477	0.1818	0.9628	30.06	0.09516	0.1119
_D:	0	73	0.8478	0.006055	0.2433	0.7567	0.1853	0.9848	30.67	0.09614	0.1124
_D:	0	74	0.7755	0.00554	0.2392	0.7608	0.1766	0.9655	29.98	0.09621	0.1121
_D:	0	75	0.7969	0.005692	0.2492	0.7508	0.1741	0.9884	30.59	0.09724	0.1121
_D:	0	76	0.8359	0.00597	0.2551	0.7449	0.1855	0.9545	29.8	0.09591	0.1123
_D:	0	77	0.8698	0.006213	0.239	0.761	0.1713	0.9717	30.25	0.09484	0.112
_D:	0	78	0.8062	0.005759	0.2406	0.7594	0.1753	0.9666	29.85	0.09538	0.1124
_D:	0	79	0.88	0.006285	0.2516	0.7484	0.1728	1.03	31.87	0.09448	0.1124
_D:	0	80	0.7336	0.00524	0.2305	0.7695	0.1557	0.924	29.01	0.09479	0.1119
_D:	0	81	0.578	0.004129	0.2016	0.7984	0.1444	0.9591	29.57	0.0941	0.1116
_D:	0	82	0.6713	0.004795	0.2018	0.7982	0.1489	0.9731	29.79	0.09519	0.1122
_D:	0	83	0.6776	0.00484	0.2085	0.7915	0.1513	1.036	31.64	0.09628	0.1126
_D:	0	84	0.7826	0.00559	0.2236	0.7764	0.1505	0.961	29.47	0.0947	0.1123
_D:	0	85	0.6443	0.004602	0.1855	0.8145	0.1384	0.981	29.88	0.09594	0.1125
_D:	0	86	0.5796	0.00414	0.1886	0.8114	0.1349	0.9476	29.16	0.09381	0.1123
_D:	0	87	0.4957	0.003541	0.1766	0.8234	0.1181	0.9609	29.37	0.09586	0.1122
_D:	0	88	0.7799	0.005571	0.2283	0.7717	0.1587	1.069	32.89	0.09641	0.1127
_D:	0	89	0.6071	0.004337	0.1777	0.8223	0.1167	0.9297	28.61	0.09623	0.1131
_D:	0	90	0.7613	0.005438	0.2275	0.7725	0.1714	1.038	32.12	0.09589	0.113
_D:	0	91	0.6338	0.004527	0.2043	0.7957	0.1447	0.9465	28.99	0.09664	0.1122
_D:	0	92	0.5658	0.004042	0.1983	0.8017	0.1249	0.9669	29.52	0.09523	0.1128
_D:	0	93	0.5553	0.003967	0.1856	0.8144	0.1303	0.9746	29.67	0.09501	0.1126
_D:	0	94	0.5549	0.003964	0.1624	0.8376	0.1165	0.9362	28.55	0.09612	0.1126
_D:	0	95	0.5755	0.004111	0.1745	0.8255	0.1277	1.048	31.79	0.09679	0.1124
_D:	0	96	0.5062	0.003616	0.1713	0.8287	0.1152	0.9245	28.03	0.09692	0.1125
_D:	0	97	0.4918	0.003513	0.1447	0.8553	0.09547	0.9654	29.21	0.09472	0.1124
_D:	0	98	0.5134	0.003667	0.1595	0.8405	0.1099	0.9706	29.36	0.09465	0.1121
_D:	0	99	0.7174	0.005124	0.2031	0.7969	0.151	1.046	32.17	0.09636	0.1123
_D:	0	100	0.4504	0.003217	0.1421	0.8579	0.1131	0.9452	28.69	0.0946	0.1126
_D:	0	101	0.3937	0.002812	0.1343	0.8657	0.08368	1.018	30.72	0.09707	0.1125
_D:	0	102	0.3578	0.002555	0.1245	0.8755	0.08951	0.9833	29.68	0.09519	0.1124
_D:	0	103	0.3894	0.002781	0.1165	0.8835	0.08409	0.9711	29.45	0.0952	0.112
