_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#OShidden ActAvg
_D:,0,92,1.24,0.01461,0.15,0.85,0.8951,0.2
_D:,0,93,0.8084,0.008509,0.125,0.875,0.94,0.2
_D:,0,94,0.7737,0.00961,0.175,0.825,0.9233,0.2
_D:,0,95,0.2078,0.002011,0.025,0.975,0.9828,0.2
_D:,0,96,0,0,0,1,0.9983,0.2
_D:,0,97,1.136,0.01127,0.125,0.875,0.9343,0.2
_D:,0,98,0.6602,0.006787,0.1,0.9,0.959,0.2
_D:,0,99,0.9037,0.01018,0.075,0.925,0.9278,0.2
_D:,0,100,0.4658,0.006467,0.075,0.925,0.9468,0.2
_D:,0,101,0.3055,0.004533,0.05,0.95,0.9631,0.2
_D:,0,102,2.001,0.0227,0.225,0.775,0.8485,0.2
_D:,0,103,0.5895,0.00647,0.05,0.95,0.9576,0.2
_D:,0,104,0.2738,0.003734,0.1,0.9,0.9704,0.2
_D:,0,105,1.55,0.01655,0.2,0.8,0.8976,0.2
_D:,0,106,0.3662,0.005134,0.05,0.95,0.9568,0.2
_D:,0,107,1.002,0.01211,0.125,0.875,0.916,0.2
_D:,0,108,0.577,0.005372,0.05,0.95,0.9655,0.2
_D:,0,109,0.9426,0.01052,0.1,0.9,0.9323,0.2
_D:,0,110,0.2396,0.003516,0.075,0.925,0.9697,0.2
_D:,0,111,1.254,0.01479,0.175,0.825,0.9,0.2
_D:,0,112,0.8714,0.01226,0.15,0.85,0.9003,0.2
_D:,0,113,2.131,0.02236,0.2,0.8,0.8593,0.2
_D:,0,114,0.3209,0.004519,0.1,0.9,0.9595,0.2
_D:,0,115,0.6253,0.008302,0.1,0.9,0.9328,0.2
_D:,0,116,0.931,0.01247,0.175,0.825,0.9045,0.2
_D:,0,117,0.2408,0.002934,0.075,0.925,0.9748,0.2
_D:,0,118,0.005445,0.0001134,0.025,0.975,0.9978,0.2
_D:,0,119,0.4267,0.0053,0.125,0.875,0.9544,0.2
_D:,0,120,0,0,0,1,0.9989,0.2
_D:,0,121,0.01962,0.0004087,0.025,0.975,0.9959,0.2
_D:,0,122,0.09812,0.001376,0.025,0.975,0.9906,0.2
_D:,0,123,0.7311,0.007485,0.1,0.9,0.9555,0.2
_D:,0,124,0.9879,0.01066,0.1,0.9,0.9227,0.2
_D:,0,125,1.007,0.01134,0.1,0.9,0.9218,0.2
_D:,0,126,0.1254,0.001672,0.025,0.975,0.9834,0.2
_D:,0,127,1.071,0.01482,0.225,0.775,0.8788,0.2
_D:,0,128,0.5373,0.005162,0.075,0.925,0.9728,0.2
_D:,0,129,0.727,0.008966,0.125,0.875,0.9319,0.2
_D:,0,130,0.4146,0.00478,0.125,0.875,0.9619,0.2
_D:,0,131,0.6921,0.007177,0.05,0.95,0.9572,0.2
_D:,0,132,0.7651,0.01018,0.125,0.875,0.9183,0.2
_D:,0,133,0.1758,0.002507,0.025,0.975,0.9793,0.2
_D:,0,134,0.51,0.006872,0.075,0.925,0.944,0.2
_D:,0,135,0.4885,0.00672,0.075,0.925,0.9464,0.2
_D:,0,136,1.387,0.01439,0.1,0.9,0.917,0.2
_D:,0,137,0.8313,0.009179,0.125,0.875,0.9425,0.2
_D:,0,138,0.4879,0.006887,0.05,0.95,0.9447,0.2
_D:,0,139,1.026,0.01026,0.125,0.875,0.9444,0.2
_D:,0,140,0.3969,0.005446,0.1,0.9,0.9562,0.2
_D:,0,141,0.1384,0.001274,0.025,0.975,0.9903,0.2
_D:,0,142,0.6642,0.006904,0.075,0.925,0.9582,0.2
_D:,0,143,0.6675,0.006708,0.05,0.95,0.9611,0.2
_D:,0,144,1.323,0.014,0.125,0.875,0.9091,0.2
_D:,0,145,1.022,0.009356,0.1,0.9,0.9573,0.2
_D:,0,146,0.2496,0.003383,0.075,0.925,0.9732,0.2
_D:,0,147,0.5206,0.004894,0.075,0.925,0.9749,0.2
_D:,0,148,0.2206,0.00205,0.025,0.975,0.9889,0.2
_D:,0,149,0,0,0,1,0.9991,0.2
_D:,0,150,0,0,0,1,0.999,0.2
_D:,0,151,0,0,0,1,0.9992,0.2
