|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeCT ActAvg	#EncodeCT Hog	#EncodeCT Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltCT ActAvg	#GestaltCT Hog	#GestaltCT Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
0	15	13.46	0.4233	0.007697	0.335	0.665	0.7323	0.2899	0.005799	0.3649	0.6351	0.5937	0.2393	0.3551	0.152	0.4845	0.295	0.456	0.2136	0.5845	0.813	0.7122	0.8762	0.616	0.2049	0.0625	0	0.1092	0.1111	0.3264	0.05238	0.006944	0.3056	0.03453	0.01389	0.2083	0.1425	0	0.02083
0	16	13.3	0.4637	0.008432	0.3531	0.6469	0.7058	0.2767	0.005535	0.3617	0.6383	0.6084	0.2352	0.395	0.162	0.5064	0.3018	0.5261	0.2289	0.6445	0.8087	0.6661	0.868	0.5743	0.2054	0.09028	0	0.1086	0.1111	0.2708	0.05222	0	0.3056	0.03427	0.006944	0.1528	0.1449	0	0.02083
0	17	13.48	0.559	0.01016	0.4293	0.5707	0.6526	0.3245	0.006491	0.4148	0.5852	0.5606	0.3342	0.4165	0.234	0.5689	0.4376	0.5406	0.3149	0.7278	0.7449	0.6513	0.8159	0.5329	0.2055	0.06944	0	0.1076	0.1111	0.2986	0.05313	0	0.3611	0.03447	0.006944	0.1458	0.1446	0	0.01389
0	18	13.54	0.5662	0.01029	0.4262	0.5738	0.6546	0.3067	0.006134	0.3852	0.6148	0.5847	0.288	0.444	0.222	0.5776	0.3808	0.5911	0.3061	0.7531	0.7784	0.6317	0.8239	0.5272	0.2056	0.09722	0	0.1077	0.1111	0.2917	0.05281	0.006944	0.3681	0.03416	0.006944	0.1667	0.1455	0	0.01389
0	19	13.52	0.4894	0.008898	0.3522	0.6478	0.7056	0.288	0.005759	0.3698	0.6302	0.6034	0.2392	0.3838	0.17	0.4937	0.3218	0.5434	0.2472	0.672	0.8141	0.6658	0.8586	0.5865	0.2062	0.09722	0	0.1075	0.1319	0.2708	0.05286	0.006944	0.3403	0.0343	0.006944	0.1528	0.144	0	0.01389
0	20	13.27	0.4935	0.008973	0.3695	0.6305	0.6972	0.317	0.006339	0.3942	0.6058	0.5737	0.2719	0.3813	0.176	0.5216	0.3709	0.5019	0.2432	0.6863	0.7842	0.6809	0.8612	0.5656	0.206	0.09028	0	0.1076	0.1181	0.2847	0.05347	0	0.3472	0.03446	0	0.1181	0.1451	0.006944	0.01389
0	21	13.46	0.4577	0.008322	0.3379	0.6621	0.7122	0.2943	0.005886	0.3627	0.6373	0.598	0.2466	0.374	0.182	0.4495	0.3228	0.522	0.2528	0.6009	0.793	0.6773	0.852	0.6084	0.2065	0.07639	0	0.1074	0.125	0.2778	0.05354	0.02083	0.3681	0.03458	0	0.1597	0.1429	0	0.01389
0	22	13.36	0.4591	0.008348	0.3296	0.6704	0.7134	0.2674	0.005348	0.3486	0.6514	0.6201	0.2084	0.3618	0.182	0.4329	0.282	0.5109	0.2743	0.5769	0.8279	0.6779	0.8374	0.629	0.2064	0.09028	0	0.1074	0.125	0.2431	0.05401	0.006944	0.3333	0.03445	0	0.125	0.1456	0	0.01389
0	23	13.06	0.4991	0.009075	0.3576	0.6424	0.6915	0.2845	0.00569	0.3512	0.6488	0.6065	0.2446	0.3686	0.19	0.4786	0.3294	0.5229	0.2775	0.6525	0.7893	0.6818	0.8442	0.5768	0.2066	0.06944	0	0.1072	0.1181	0.2431	0.05391	0.01389	0.3194	0.03421	0	0.1181	0.1438	0	0.01389
0	24	12.86	0.4822	0.008768	0.3459	0.6541	0.6961	0.2793	0.005585	0.353	0.647	0.6102	0.2282	0.4262	0.188	0.4573	0.3082	0.6092	0.2713	0.6261	0.8085	0.612	0.8324	0.6012	0.2057	0.1042	0	0.1076	0.1111	0.2569	0.05352	0.02083	0.3125	0.03455	0	0.09028	0.1444	0	0.006944
