_H:	|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeD ActAvg	#EncodeD Hog	#EncodeD Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltD ActAvg	#GestaltD Hog	#GestaltD Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
_D:	0	15	20.21	0.5262	0.009567	0.386	0.614	0.6737	0.3058	0.006117	0.422	0.578	0.5782	0.262	0.4273	0.218	0.5	0.3633	0.5762	0.3066	0.6699	0.7815	0.6356	0.8137	0.5798	0.2042	0.09722	0	0.1068	0.1042	0.2986	0.05279	0.006944	0.3194	0.03499	0.02083	0.1042	0.1432	0	0
_D:	0	16	20.25	0.4967	0.009031	0.3674	0.6326	0.6999	0.29	0.0058	0.3868	0.6132	0.5896	0.251	0.4267	0.182	0.5102	0.3342	0.5836	0.2503	0.6842	0.8138	0.6265	0.8668	0.5636	0.2047	0.08333	0	0.1059	0.08333	0.2639	0.05359	0.006944	0.2708	0.03523	0.01389	0.1042	0.1444	0	0
_D:	0	17	20.19	0.5398	0.009814	0.4028	0.5972	0.6597	0.3021	0.006042	0.3857	0.6143	0.5792	0.2863	0.4315	0.212	0.5434	0.3905	0.5713	0.2777	0.7363	0.7576	0.6359	0.8314	0.5275	0.2035	0.05556	0	0.106	0.09028	0.2778	0.0532	0.006944	0.2639	0.03495	0.01389	0.125	0.1447	0	0.006944
_D:	0	18	20.16	0.512	0.00931	0.3761	0.6239	0.6831	0.2723	0.005446	0.3721	0.6279	0.6044	0.2547	0.4069	0.19	0.5165	0.3358	0.5639	0.2718	0.6864	0.794	0.6493	0.8432	0.5605	0.2035	0.08333	0	0.1048	0.09028	0.2708	0.05287	0	0.2917	0.03508	0.006944	0.09722	0.1444	0	0
_D:	0	19	20.12	0.4855	0.008828	0.3405	0.6595	0.7027	0.2802	0.005605	0.3628	0.6372	0.6018	0.2103	0.3871	0.184	0.4529	0.2859	0.5648	0.2821	0.6208	0.8177	0.6608	0.8346	0.6107	0.204	0.09722	0	0.1043	0.08333	0.2431	0.05312	0.006944	0.3056	0.0347	0.006944	0.1181	0.1449	0	0.006944
_D:	0	20	20.08	0.5159	0.00938	0.3586	0.6414	0.6869	0.2646	0.005292	0.352	0.648	0.6182	0.1885	0.442	0.206	0.4617	0.2524	0.6538	0.302	0.6571	0.8461	0.6039	0.8225	0.5939	0.2041	0.1111	0	0.105	0.07639	0.2639	0.05347	0.01389	0.2569	0.03502	0	0.1181	0.1436	0	0.006944
_D:	0	21	20.13	0.5211	0.009474	0.3519	0.6481	0.6883	0.2752	0.005503	0.3573	0.6427	0.6088	0.2249	0.3898	0.208	0.4462	0.3203	0.5884	0.3223	0.6423	0.8076	0.6487	0.8198	0.5996	0.2039	0.09722	0	0.1038	0.07639	0.25	0.05339	0.006944	0.3056	0.03482	0	0.07639	0.1446	0	0
_D:	0	22	20.1	0.5028	0.009142	0.3468	0.6532	0.6977	0.2773	0.005545	0.3628	0.6372	0.6048	0.2473	0.3716	0.182	0.4682	0.3284	0.5703	0.2757	0.6638	0.8036	0.6561	0.8393	0.5946	0.2053	0.09722	0	0.103	0.07639	0.2222	0.05457	0.01389	0.2986	0.03454	0	0.1181	0.1459	0	0.006944
_D:	0	23	20.16	0.5371	0.009765	0.3604	0.6396	0.6847	0.3004	0.006008	0.3829	0.6171	0.5903	0.2431	0.4057	0.186	0.4923	0.3582	0.6091	0.3014	0.7023	0.7905	0.6417	0.8339	0.5738	0.204	0.09028	0	0.1039	0.06944	0.2083	0.05421	0.006944	0.25	0.03453	0	0.07639	0.1443	0	0.006944
_D:	0	24	20.02	0.4757	0.008649	0.3279	0.6721	0.7105	0.2826	0.005652	0.3695	0.6305	0.6041	0.226	0.3538	0.17	0.4453	0.3117	0.529	0.2582	0.6313	0.8115	0.677	0.854	0.6017	0.2039	0.1042	0	0.1029	0.07639	0.2361	0.05367	0.01389	0.2778	0.03443	0	0.04861	0.145	0	0.006944
_D:	0	25	20.14	0.5211	0.009474	0.3535	0.6465	0.6803	0.2798	0.005597	0.37	0.63	0.6055	0.2324	0.3884	0.166	0.5026	0.3316	0.5825	0.2612	0.7196	0.8124	0.6282	0.8436	0.5536	0.2064	0.09028	0	0.1022	0.07639	0.2222	0.05374	0.006944	0.3333	0.03431	0	0.07639	0.1462	0	0
_D:	0	26	20.19	0.521	0.009473	0.3614	0.6386	0.687	0.2853	0.005706	0.3657	0.6343	0.6042	0.2426	0.3854	0.172	0.5088	0.3407	0.5631	0.2579	0.7212	0.7843	0.6707	0.8535	0.556	0.2045	0.1042	0	0.1035	0.06944	0.2292	0.05376	0.006944	0.2708	0.03453	0	0.03472	0.1451	0	0
_D:	0	27	20.06	0.5221	0.009492	0.3463	0.6537	0.6845	0.2814	0.005627	0.3535	0.6465	0.607	0.243	0.367	0.19	0.4569	0.3566	0.562	0.2928	0.6805	0.7832	0.6616	0.8241	0.5874	0.204	0.07639	0	0.1037	0.07639	0.2361	0.05475	0.01389	0.2917	0.03443	0	0.06944	0.1448	0	0.006944
_D:	0	28	20.11	0.5612	0.0102	0.3703	0.6297	0.6553	0.2982	0.005963	0.3691	0.6309	0.5968	0.2767	0.362	0.204	0.4873	0.4137	0.5521	0.3159	0.7299	0.748	0.6595	0.8152	0.5398	0.2062	0.08333	0	0.1016	0.08333	0.2222	0.05366	0	0.3125	0.03394	0	0.03472	0.1455	0	0
_D:	0	29	20.08	0.5235	0.009518	0.3438	0.6562	0.6865	0.2659	0.005318	0.3289	0.6711	0.6236	0.208	0.392	0.178	0.465	0.3037	0.6086	0.2777	0.6998	0.8193	0.6345	0.8405	0.5724	0.2047	0.08333	0	0.1033	0.06944	0.2361	0.05397	0.01389	0.3194	0.03385	0	0.04861	0.1452	0	0.006944
_D:	0	30	20.07	0.4968	0.009033	0.3216	0.6784	0.7083	0.2484	0.004969	0.3203	0.6797	0.6459	0.1951	0.3623	0.16	0.4453	0.2842	0.5745	0.2611	0.6704	0.832	0.6637	0.851	0.601	0.2049	0.09722	0	0.1031	0.08333	0.1944	0.05341	0.006944	0.2986	0.03438	0	0.0625	0.1453	0	0.006944
_D:	0	31	20.04	0.5389	0.009798	0.3493	0.6507	0.6774	0.2892	0.005785	0.3561	0.6439	0.6113	0.2098	0.4328	0.198	0.4529	0.3003	0.6962	0.3192	0.6813	0.8274	0.5743	0.8176	0.581	0.2056	0.09028	0	0.103	0.06944	0.2222	0.05394	0.006944	0.2847	0.03449	0	0.02778	0.1454	0	0
_D:	0	32	20.01	0.4785	0.008699	0.3053	0.6947	0.715	0.2782	0.005564	0.3471	0.6529	0.6136	0.2042	0.3468	0.146	0.4293	0.3171	0.5469	0.2353	0.6647	0.8134	0.6716	0.8664	0.5958	0.2059	0.09722	0	0.103	0.07639	0.2361	0.05368	0.01389	0.2917	0.03402	0	0.07639	0.1469	0	0
_D:	0	33	20.06	0.4495	0.008172	0.2915	0.7085	0.7237	0.3053	0.006107	0.3746	0.6254	0.598	0.1836	0.3404	0.132	0.4216	0.2785	0.5298	0.212	0.6391	0.8284	0.6748	0.8724	0.6037	0.2062	0.08333	0	0.1032	0.07639	0.25	0.05397	0.006944	0.3125	0.0341	0	0.04861	0.146	0	0
_D:	0	34	20.07	0.4442	0.008077	0.2861	0.7139	0.7378	0.2696	0.005392	0.3371	0.6629	0.6224	0.1848	0.3375	0.142	0.3974	0.2828	0.529	0.2325	0.6018	0.8386	0.681	0.8651	0.6419	0.2066	0.1111	0	0.1021	0.06944	0.2292	0.05401	0.01389	0.3333	0.03381	0	0.04167	0.1474	0	0
_D:	0	35	20.09	0.4781	0.008692	0.3131	0.6869	0.7122	0.2954	0.005908	0.3509	0.6491	0.6047	0.1805	0.3872	0.174	0.4107	0.2646	0.6033	0.2695	0.6222	0.8337	0.6448	0.8401	0.6225	0.2043	0.07639	0	0.1032	0.0625	0.25	0.0538	0.01389	0.2708	0.03419	0	0.04861	0.1464	0	0
_D:	0	36	20.1	0.4835	0.00879	0.3132	0.6868	0.709	0.2815	0.00563	0.3419	0.6581	0.611	0.2129	0.3488	0.152	0.438	0.3196	0.5483	0.2465	0.661	0.7977	0.6807	0.8577	0.5944	0.2051	0.08333	0	0.1031	0.06944	0.2083	0.05327	0.01389	0.3125	0.03412	0	0.04861	0.1453	0	0
_D:	0	37	20	0.4577	0.008322	0.2989	0.7011	0.7336	0.2882	0.005764	0.3617	0.6383	0.6099	0.1799	0.3441	0.146	0.4173	0.2607	0.5407	0.234	0.6259	0.845	0.6884	0.8673	0.6314	0.2049	0.09722	0	0.1026	0.0625	0.2292	0.05312	0.006944	0.3333	0.03401	0	0.04167	0.1477	0	0
_D:	0	38	20.03	0.4831	0.008784	0.3105	0.6895	0.7107	0.2959	0.005919	0.3577	0.6423	0.6028	0.1836	0.3707	0.166	0.4165	0.2677	0.5954	0.2649	0.6394	0.8317	0.6518	0.849	0.6074	0.2061	0.1042	0	0.1026	0.07639	0.2153	0.05397	0.006944	0.2917	0.03367	0	0.04861	0.147	0	0.006944
_D:	0	39	20.02	0.4434	0.008062	0.2832	0.7168	0.7303	0.274	0.005481	0.3356	0.6644	0.6241	0.1771	0.3318	0.14	0.3939	0.2674	0.5303	0.2353	0.5962	0.8362	0.6787	0.862	0.6308	0.2044	0.09028	0	0.1028	0.06944	0.2222	0.05485	0.01389	0.3125	0.03373	0	0.05556	0.1477	0	0.006944
_D:	0	40	19.99	0.4456	0.008102	0.2908	0.7092	0.7337	0.2977	0.005955	0.3704	0.6296	0.6023	0.167	0.3641	0.148	0.399	0.2495	0.5655	0.2347	0.6014	0.8445	0.6696	0.8659	0.6329	0.2073	0.09722	0	0.1022	0.0625	0.1806	0.05416	0.006944	0.2778	0.03379	0	0.06944	0.1473	0	0.006944
_D:	0	41	19.96	0.4538	0.008251	0.2911	0.7089	0.731	0.274	0.00548	0.3315	0.6685	0.6259	0.1797	0.3864	0.128	0.4256	0.2745	0.6114	0.2111	0.6486	0.8362	0.6393	0.8832	0.6047	0.207	0.09028	0	0.1022	0.06944	0.1944	0.05373	0.01389	0.2986	0.03394	0	0.04861	0.1477	0	0
_D:	0	42	20.03	0.4305	0.007827	0.2816	0.7184	0.7413	0.2752	0.005504	0.3352	0.6648	0.6247	0.1674	0.3289	0.142	0.3878	0.2422	0.516	0.2335	0.5719	0.8498	0.6943	0.8713	0.6414	0.2061	0.1042	0	0.1029	0.06944	0.2292	0.054	0.006944	0.3056	0.03363	0	0.04861	0.1462	0	0.006944
_D:	0	43	20.13	0.4748	0.008633	0.298	0.702	0.7209	0.2788	0.005576	0.3307	0.6693	0.6224	0.1944	0.3537	0.146	0.4158	0.3077	0.5662	0.2461	0.6455	0.8223	0.6632	0.8602	0.6145	0.2066	0.08333	0	0.103	0.06944	0.2153	0.05444	0.01389	0.2917	0.03353	0	0.05556	0.1475	0	0.006944
_D:	0	44	20.01	0.4085	0.007427	0.2585	0.7415	0.7613	0.2826	0.005651	0.3382	0.6618	0.6178	0.1476	0.3252	0.12	0.369	0.2293	0.5185	0.1994	0.5705	0.8726	0.6893	0.8837	0.6665	0.2058	0.08333	0	0.1035	0.06944	0.2361	0.05416	0.006944	0.3125	0.03367	0	0.06944	0.1476	0	0.006944
