_H:	|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeD ActAvg	#EncodeD Hog	#EncodeD Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltD ActAvg	#GestaltD Hog	#GestaltD Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
_D:	0	67	20.04	0.3826	0.006955	0.2337	0.7663	0.7749	0.2482	0.004964	0.2857	0.7143	0.6571	0.1315	0.3314	0.126	0.3106	0.2128	0.5466	0.2231	0.4873	0.8748	0.6784	0.8737	0.7071	0.2048	0.09028	0	0.1073	0.0625	0.1944	0.05459	0.006944	0.2847	0.03365	0	0.05556	0.1481	0	0.006944
_D:	0	68	20.05	0.3977	0.007231	0.2437	0.7563	0.7697	0.2616	0.005233	0.3094	0.6906	0.6446	0.1468	0.2829	0.138	0.3163	0.2321	0.4689	0.2296	0.5106	0.87	0.7243	0.8666	0.7049	0.2071	0.1319	0	0.1074	0.07639	0.2431	0.0528	0.006944	0.3264	0.0339	0	0.08333	0.1478	0	0
_D:	0	69	19.98	0.349	0.006345	0.2205	0.7795	0.8024	0.2743	0.005487	0.3273	0.6727	0.629	0.1106	0.2951	0.12	0.2931	0.165	0.4788	0.1974	0.4541	0.9089	0.7262	0.8954	0.7337	0.2057	0.06944	0	0.1071	0.06944	0.2014	0.0539	0	0.3125	0.03393	0	0.05556	0.1472	0	0.006944
_D:	0	70	19.97	0.3707	0.00674	0.2345	0.7655	0.7798	0.299	0.005981	0.3363	0.6637	0.6099	0.1356	0.3053	0.122	0.3188	0.202	0.4991	0.2056	0.4876	0.88	0.7035	0.8831	0.7036	0.206	0.09028	0	0.1069	0.08333	0.1806	0.05471	0	0.3333	0.03358	0	0.04167	0.1499	0	0
_D:	0	71	20	0.4477	0.00814	0.2741	0.7259	0.736	0.2607	0.005214	0.3108	0.6892	0.6378	0.155	0.3372	0.15	0.3634	0.2446	0.56	0.2545	0.5814	0.8521	0.6737	0.8528	0.6535	0.2084	0.1042	0	0.1075	0.09722	0.2083	0.05466	0	0.2917	0.03394	0	0.06944	0.1486	0	0
_D:	0	72	19.99	0.3729	0.006781	0.2274	0.7726	0.7844	0.2656	0.005313	0.2991	0.7009	0.6398	0.09501	0.2968	0.132	0.2904	0.1562	0.4865	0.2191	0.473	0.9103	0.7181	0.8729	0.727	0.2062	0.07639	0	0.1075	0.09028	0.2014	0.05447	0	0.3056	0.03406	0	0.03472	0.1483	0	0
_D:	0	73	19.98	0.3255	0.005919	0.2018	0.7982	0.8165	0.2669	0.005339	0.3259	0.6741	0.6436	0.124	0.2494	0.08	0.3053	0.1958	0.4077	0.1247	0.4982	0.894	0.7647	0.9336	0.7143	0.2075	0.07639	0	0.1077	0.07639	0.1875	0.05317	0	0.3333	0.03431	0	0.06944	0.1497	0	0.006944
_D:	0	74	20.07	0.421	0.007655	0.2528	0.7472	0.7535	0.2999	0.005998	0.3345	0.6655	0.6165	0.1358	0.3208	0.15	0.3197	0.2173	0.5438	0.2628	0.5156	0.8711	0.6836	0.8493	0.6941	0.2062	0.08333	0	0.1078	0.07639	0.1875	0.05332	0	0.2986	0.03389	0	0.06944	0.1478	0	0
_D:	0	75	20.06	0.4634	0.008426	0.2702	0.7298	0.7365	0.2737	0.005474	0.315	0.685	0.6232	0.1413	0.3386	0.162	0.3393	0.2407	0.5823	0.2842	0.5738	0.8604	0.6718	0.8387	0.6735	0.2066	0.07639	0	0.1077	0.08333	0.1597	0.05462	0	0.3125	0.03413	0	0.04861	0.1481	0	0
_D:	0	76	19.94	0.362	0.006582	0.2249	0.7751	0.7925	0.2548	0.005096	0.3025	0.6975	0.6536	0.1096	0.3147	0.136	0.2803	0.1616	0.5255	0.2248	0.4438	0.9056	0.7012	0.8763	0.7391	0.2066	0.06944	0	0.1078	0.09028	0.1458	0.05404	0	0.3194	0.03415	0	0.07639	0.1494	0	0
_D:	0	77	19.95	0.373	0.006782	0.2263	0.7737	0.7783	0.2736	0.005473	0.3154	0.6846	0.6333	0.1537	0.2462	0.11	0.3171	0.2431	0.4155	0.1854	0.5175	0.8558	0.7528	0.8922	0.6894	0.2079	0.08333	0	0.1077	0.07639	0.1667	0.05338	0	0.3194	0.03396	0	0.04167	0.1483	0	0
_D:	0	78	19.98	0.4278	0.007779	0.2607	0.7393	0.7459	0.2966	0.005932	0.3356	0.6644	0.6151	0.136	0.3158	0.148	0.3376	0.2117	0.5284	0.2567	0.5364	0.8686	0.6911	0.8521	0.6755	0.207	0.09722	0	0.1078	0.07639	0.1319	0.0548	0.006944	0.2847	0.0338	0	0.07639	0.1487	0	0
_D:	0	79	19.91	0.4134	0.007517	0.245	0.755	0.7603	0.2833	0.005667	0.3069	0.6931	0.6292	0.1429	0.2924	0.138	0.3182	0.2403	0.4943	0.2368	0.5321	0.8591	0.715	0.8652	0.6884	0.2075	0.0625	0	0.1077	0.08333	0.1736	0.05381	0	0.3264	0.03398	0	0.05556	0.1482	0	0.006944
_D:	0	80	19.99	0.4718	0.008579	0.2866	0.7134	0.7232	0.2825	0.00565	0.324	0.676	0.6237	0.1571	0.3275	0.152	0.3852	0.2436	0.5503	0.261	0.6204	0.8588	0.6758	0.8502	0.6318	0.206	0.07639	0	0.1077	0.08333	0.1319	0.05366	0.006944	0.2986	0.03429	0	0.0625	0.1487	0	0
_D:	0	81	19.92	0.4232	0.007695	0.2592	0.7408	0.7474	0.2939	0.005878	0.3367	0.6633	0.6221	0.1375	0.2897	0.14	0.3453	0.2148	0.4794	0.2351	0.5556	0.8703	0.7149	0.8651	0.6616	0.2055	0.07639	0	0.1078	0.07639	0.1389	0.05408	0	0.3056	0.03421	0	0.04861	0.1476	0	0
_D:	0	82	19.92	0.3248	0.005906	0.1952	0.8048	0.8135	0.2688	0.005376	0.3093	0.6907	0.6406	0.1093	0.2722	0.096	0.2725	0.1809	0.4544	0.1622	0.4503	0.895	0.7408	0.9117	0.7352	0.2079	0.09722	0	0.1076	0.09028	0.1458	0.05363	0	0.3125	0.03413	0	0.09722	0.1495	0	0.006944
_D:	0	83	19.97	0.3995	0.007264	0.2418	0.7582	0.7651	0.2825	0.005651	0.3177	0.6823	0.6286	0.136	0.2717	0.142	0.3071	0.224	0.4494	0.2463	0.4926	0.8662	0.7374	0.8636	0.6999	0.2069	0.1042	0	0.1078	0.08333	0.1667	0.05391	0.006944	0.3125	0.03434	0	0.08333	0.1477	0	0
_D:	0	84	19.93	0.4196	0.007629	0.2528	0.7472	0.7578	0.2773	0.005545	0.333	0.667	0.6329	0.1506	0.2804	0.122	0.3544	0.2375	0.4748	0.2088	0.5802	0.8609	0.7274	0.8785	0.6663	0.2072	0.07639	0	0.1082	0.06944	0.1458	0.05441	0	0.2917	0.03436	0	0.08333	0.1488	0	0
_D:	0	85	19.95	0.4211	0.007656	0.2481	0.7519	0.7584	0.2874	0.005748	0.3337	0.6663	0.6259	0.1192	0.3139	0.14	0.3231	0.1953	0.5391	0.2375	0.5486	0.8876	0.691	0.8658	0.6826	0.2076	0.06944	0	0.1077	0.0625	0.1458	0.05368	0	0.25	0.03437	0	0.04861	0.1498	0	0
_D:	0	86	19.94	0.3189	0.005798	0.1985	0.8015	0.8125	0.2478	0.004955	0.2889	0.7111	0.6551	0.09488	0.2953	0.106	0.2668	0.1418	0.4901	0.1778	0.419	0.9119	0.7187	0.8934	0.7562	0.2064	0.08333	0	0.108	0.06944	0.1319	0.05326	0	0.2917	0.03447	0	0.06944	0.1477	0	0
_D:	0	87	19.98	0.4008	0.007287	0.2428	0.7572	0.7622	0.2792	0.005584	0.3095	0.6905	0.6386	0.1202	0.3359	0.124	0.3316	0.1826	0.5745	0.2159	0.5333	0.8847	0.6679	0.8765	0.6777	0.2055	0.09028	0	0.1085	0.0625	0.1458	0.05422	0	0.2778	0.03421	0	0.03472	0.1479	0	0
_D:	0	88	19.98	0.3354	0.006098	0.2003	0.7997	0.8038	0.2753	0.005507	0.3172	0.6828	0.6332	0.1106	0.2471	0.09	0.2905	0.1759	0.4236	0.1544	0.4819	0.8943	0.755	0.9101	0.7175	0.2066	0.09028	0	0.1089	0.0625	0.1458	0.05284	0.006944	0.2986	0.03437	0	0.06944	0.1483	0	0.006944
_D:	0	89	20	0.3866	0.007029	0.2366	0.7634	0.7737	0.2895	0.005791	0.3409	0.6591	0.6264	0.146	0.2955	0.122	0.3238	0.2311	0.4926	0.212	0.5126	0.8614	0.7161	0.8819	0.6922	0.2055	0.07639	0	0.1095	0.06944	0.1667	0.05504	0.006944	0.2986	0.03435	0	0.0625	0.1477	0	0
_D:	0	90	20.01	0.3839	0.006979	0.2392	0.7608	0.7758	0.2503	0.005006	0.2966	0.7034	0.6474	0.125	0.3184	0.142	0.3026	0.1852	0.5296	0.2393	0.4708	0.8934	0.6888	0.8653	0.7185	0.2061	0.09028	0	0.1094	0.06944	0.1458	0.05528	0.006944	0.2778	0.03429	0	0.07639	0.1481	0	0.006944
_D:	0	91	19.91	0.34	0.006181	0.2069	0.7931	0.8013	0.2932	0.005863	0.3356	0.6644	0.6147	0.1107	0.2725	0.112	0.2758	0.1746	0.4567	0.1846	0.4526	0.8957	0.7359	0.8929	0.7345	0.2063	0.09028	0	0.1095	0.0625	0.1528	0.05396	0.01389	0.3056	0.03474	0	0.05556	0.1486	0	0.006944
_D:	0	92	19.99	0.3995	0.007264	0.2424	0.7576	0.7706	0.2612	0.005224	0.3086	0.6914	0.6484	0.1279	0.3163	0.138	0.3144	0.1998	0.534	0.2393	0.503	0.8856	0.6929	0.8663	0.7063	0.2078	0.09028	0	0.1083	0.05556	0.1319	0.05342	0	0.3264	0.03444	0	0.04861	0.1492	0	0
_D:	0	93	20.02	0.3937	0.007157	0.2361	0.7639	0.7687	0.2592	0.005185	0.296	0.704	0.6481	0.1233	0.2991	0.14	0.2985	0.1934	0.5113	0.2402	0.4889	0.8801	0.706	0.8628	0.7076	0.2074	0.09028	0	0.1083	0.07639	0.1528	0.05415	0.006944	0.2778	0.03436	0	0.05556	0.1498	0	0
_D:	0	94	19.93	0.3869	0.007035	0.2329	0.7671	0.7734	0.2838	0.005677	0.3236	0.6764	0.6272	0.1288	0.2786	0.132	0.3026	0.2004	0.4754	0.2261	0.4939	0.8841	0.7202	0.8693	0.7085	0.2068	0.06944	0	0.109	0.07639	0.1319	0.05456	0	0.2986	0.03437	0	0.06944	0.1489	0	0
_D:	0	95	19.93	0.3792	0.006895	0.2257	0.7743	0.779	0.2959	0.005919	0.3158	0.6842	0.6213	0.1339	0.2883	0.124	0.2977	0.2208	0.4898	0.2159	0.4905	0.8721	0.7135	0.8784	0.7088	0.207	0.08333	0	0.1092	0.0625	0.1181	0.05431	0.006944	0.2917	0.03437	0	0.02778	0.1484	0	0.006944
_D:	0	96	20.01	0.4268	0.00776	0.2528	0.7472	0.7532	0.2825	0.005649	0.3218	0.6782	0.6281	0.1118	0.3417	0.144	0.3266	0.1861	0.5796	0.26	0.5299	0.8931	0.664	0.8533	0.6888	0.2077	0.06944	0	0.11	0.06944	0.125	0.05383	0.006944	0.3264	0.0343	0	0.02778	0.1489	0	0.006944
_D:	0	97	20.04	0.3812	0.006931	0.2285	0.7715	0.7837	0.2864	0.005728	0.3285	0.6715	0.6342	0.1119	0.2907	0.118	0.3112	0.1812	0.4902	0.1938	0.523	0.8963	0.7228	0.888	0.7059	0.2051	0.07639	0	0.1093	0.06944	0.1111	0.0545	0	0.3125	0.03428	0	0.04861	0.1492	0	0.006944
_D:	0	98	19.94	0.3915	0.007117	0.2316	0.7684	0.7774	0.3116	0.006231	0.3528	0.6472	0.603	0.1146	0.3122	0.114	0.3231	0.1915	0.5301	0.1983	0.5387	0.8902	0.6997	0.8898	0.6904	0.2061	0.1042	0	0.1088	0.06944	0.1181	0.05485	0.006944	0.3056	0.03403	0	0.07639	0.1493	0	0.006944
_D:	0	99	20	0.337	0.006127	0.1982	0.8018	0.8051	0.2757	0.005514	0.3004	0.6996	0.6419	0.1048	0.2779	0.098	0.2755	0.1673	0.4879	0.1663	0.4687	0.9003	0.7221	0.9022	0.731	0.2071	0.09722	0	0.1095	0.0625	0.1111	0.05424	0	0.2917	0.03409	0	0.07639	0.1492	0	0
_D:	0	100	20.06	0.4179	0.007597	0.2428	0.7572	0.7582	0.2733	0.005466	0.3095	0.6905	0.6399	0.1049	0.3176	0.138	0.3139	0.1824	0.5449	0.2463	0.5292	0.897	0.6822	0.8595	0.6911	0.2067	0.09722	0	0.1098	0.06944	0.07639	0.05418	0	0.2778	0.03425	0	0.1042	0.148	0	0
_D:	0	101	20.02	0.3852	0.007004	0.2345	0.7655	0.7759	0.2673	0.005346	0.3015	0.6985	0.6361	0.103	0.2933	0.118	0.3239	0.1739	0.4781	0.196	0.5294	0.8967	0.7236	0.8863	0.6916	0.2056	0.09028	0	0.1101	0.0625	0.1042	0.0545	0.006944	0.2917	0.03452	0	0.09722	0.1489	0	0
_D:	0	102	20.01	0.3726	0.006774	0.2254	0.7746	0.7779	0.2793	0.005585	0.3233	0.6767	0.6331	0.1322	0.3025	0.118	0.3046	0.217	0.5023	0.1994	0.4977	0.8723	0.698	0.8828	0.7011	0.2073	0.06944	0	0.1104	0.08333	0.1042	0.05329	0	0.2708	0.0348	0	0.05556	0.1493	0	0
_D:	0	103	20.03	0.36	0.006545	0.2156	0.7844	0.7908	0.2783	0.005565	0.3102	0.6898	0.6385	0.09535	0.2727	0.118	0.285	0.16	0.4546	0.2056	0.4648	0.9058	0.7369	0.8847	0.7246	0.2082	0.1111	0	0.1106	0.06944	0.1111	0.05479	0	0.3056	0.03422	0	0.03472	0.1503	0	0
_D:	0	104	20.07	0.4334	0.007881	0.2614	0.7386	0.7501	0.2931	0.005861	0.3173	0.6827	0.6213	0.1304	0.3297	0.148	0.3393	0.2089	0.5539	0.2517	0.5546	0.8788	0.6814	0.8604	0.6731	0.2087	0.08333	0	0.1115	0.06944	0.1458	0.05346	0	0.3333	0.03449	0	0.06944	0.1483	0	0
_D:	0	105	20.05	0.3671	0.006675	0.2155	0.7845	0.7871	0.2979	0.005957	0.3285	0.6715	0.6253	0.1176	0.249	0.13	0.2699	0.1862	0.4355	0.2275	0.4522	0.8827	0.7548	0.8696	0.7358	0.2074	0.1042	0	0.1114	0.0625	0.1319	0.0541	0	0.3542	0.03449	0	0.09722	0.1483	0	0
_D:	0	106	20.04	0.3647	0.006631	0.2155	0.7845	0.7936	0.2756	0.005512	0.3129	0.6871	0.6385	0.1085	0.2519	0.11	0.294	0.1718	0.4348	0.1925	0.4894	0.9007	0.7555	0.8933	0.7203	0.2061	0.0625	0	0.1116	0.0625	0.09028	0.05384	0.006944	0.3125	0.03479	0	0.07639	0.1494	0	0
_D:	0	107	19.99	0.4173	0.007588	0.2471	0.7529	0.7618	0.286	0.00572	0.333	0.667	0.6187	0.1057	0.3074	0.132	0.3316	0.1634	0.5307	0.2292	0.5518	0.8993	0.7029	0.8712	0.6825	0.2075	0.1042	0	0.1112	0.04167	0.1042	0.0539	0.006944	0.3333	0.0343	0	0.09028	0.1482	0	0.006944
_D:	0	108	20.03	0.3754	0.006826	0.22	0.78	0.7871	0.2799	0.005598	0.3266	0.6734	0.634	0.1106	0.2695	0.132	0.2762	0.1831	0.4648	0.2321	0.4626	0.8947	0.7377	0.8706	0.7347	0.2076	0.08333	0	0.112	0.04861	0.1042	0.05437	0.006944	0.3264	0.03436	0	0.06944	0.1491	0	0
_D:	0	109	20.02	0.3428	0.006232	0.2093	0.7907	0.802	0.2735	0.00547	0.3236	0.6764	0.6386	0.1015	0.2727	0.112	0.2799	0.1505	0.4628	0.1939	0.445	0.912	0.7338	0.8896	0.7409	0.2061	0.0625	0	0.112	0.06944	0.125	0.05533	0.006944	0.2847	0.03465	0	0.0625	0.1483	0	0
_D:	0	110	20.1	0.3403	0.006187	0.197	0.803	0.8078	0.268	0.005361	0.3105	0.6895	0.6432	0.08784	0.2612	0.116	0.25	0.1496	0.4533	0.2084	0.4217	0.914	0.7454	0.8856	0.7576	0.2066	0.09028	0	0.1124	0.04861	0.09722	0.05397	0	0.3194	0.03485	0	0.08333	0.1498	0	0
_D:	0	111	20.06	0.3856	0.00701	0.2324	0.7676	0.7777	0.3031	0.006063	0.3315	0.6685	0.6217	0.1408	0.2624	0.126	0.3081	0.2201	0.4467	0.2175	0.5005	0.8721	0.7433	0.8785	0.7065	0.2073	0.09028	0	0.1126	0.04861	0.09722	0.05372	0	0.3056	0.03466	0	0.05556	0.1498	0	0
_D:	0	112	20.07	0.3999	0.00727	0.2377	0.7623	0.7714	0.2726	0.005452	0.3154	0.6846	0.636	0.1393	0.2978	0.124	0.3223	0.2252	0.5121	0.2196	0.5281	0.871	0.7074	0.8772	0.6944	0.2071	0.1042	0	0.113	0.04861	0.1042	0.05395	0	0.3264	0.03464	0	0.1181	0.1494	0	0
_D:	0	113	20.13	0.4018	0.007305	0.2298	0.7702	0.774	0.2748	0.005496	0.3117	0.6883	0.635	0.1145	0.3007	0.124	0.3061	0.1982	0.5278	0.2151	0.5373	0.8856	0.7063	0.8816	0.6945	0.2081	0.1111	0	0.1127	0.04861	0.08333	0.05338	0	0.3125	0.03487	0	0.08333	0.1498	0	0
_D:	0	114	20.14	0.4176	0.007593	0.2456	0.7544	0.7614	0.3274	0.006549	0.3535	0.6465	0.6011	0.1531	0.297	0.13	0.3299	0.2478	0.5203	0.2231	0.5585	0.854	0.7082	0.8761	0.6765	0.2078	0.07639	0	0.1136	0.04167	0.09722	0.0539	0	0.3056	0.03467	0	0.1389	0.1494	0	0
_D:	0	115	20.09	0.3616	0.006575	0.2146	0.7854	0.7927	0.2826	0.005652	0.3251	0.6749	0.6324	0.137	0.2556	0.122	0.2781	0.2264	0.436	0.2098	0.4631	0.8729	0.7468	0.88	0.7343	0.2092	0.09028	0	0.1132	0.05556	0.1181	0.05471	0	0.3333	0.03452	0	0.07639	0.1493	0	0.006944
_D:	0	116	20.11	0.3791	0.006893	0.2184	0.7816	0.7837	0.2897	0.005794	0.3229	0.6771	0.6253	0.09234	0.2946	0.118	0.2908	0.1508	0.5208	0.2137	0.4934	0.9083	0.7085	0.88	0.716	0.2087	0.09722	0	0.1135	0.05556	0.07639	0.05421	0	0.3125	0.03459	0	0.05556	0.15	0	0.006944
_D:	0	117	20.09	0.4129	0.007508	0.2377	0.7623	0.7691	0.2794	0.005587	0.3151	0.6849	0.6327	0.0997	0.2766	0.146	0.2937	0.1655	0.4849	0.2521	0.512	0.9082	0.7283	0.8605	0.7118	0.2067	0.06944	0	0.114	0.05556	0.09028	0.05359	0	0.2986	0.0349	0	0.08333	0.1481	0	0.006944
_D:	0	118	20.07	0.3588	0.006524	0.2101	0.7899	0.7989	0.2895	0.005791	0.314	0.686	0.6371	0.1074	0.2924	0.128	0.2608	0.183	0.5001	0.2305	0.4304	0.8977	0.7193	0.8737	0.7551	0.2082	0.1042	0	0.1137	0.0625	0.09722	0.05305	0	0.3472	0.03493	0	0.09028	0.1489	0	0
_D:	0	119	20.08	0.3872	0.00704	0.2257	0.7743	0.7806	0.3082	0.006164	0.3303	0.6697	0.6151	0.1022	0.2805	0.132	0.2875	0.1719	0.484	0.2299	0.4888	0.9021	0.7261	0.8706	0.7219	0.2074	0.08333	0	0.1142	0.04167	0.08333	0.05526	0	0.2569	0.03495	0	0.1111	0.1498	0	0
_D:	0	120	20.07	0.3822	0.00695	0.2242	0.7758	0.7784	0.248	0.004959	0.2819	0.7181	0.6604	0.1035	0.2657	0.12	0.2995	0.1667	0.4598	0.2134	0.4995	0.8993	0.7363	0.8786	0.7076	0.2069	0.09722	0	0.1143	0.03472	0.07639	0.05507	0	0.2778	0.03463	0	0.1042	0.149	0	0.006944
_D:	0	121	20.11	0.3856	0.007012	0.2259	0.7741	0.7807	0.272	0.005439	0.3164	0.6836	0.6393	0.1011	0.2958	0.136	0.2835	0.1656	0.5118	0.2378	0.4768	0.903	0.7117	0.8664	0.7268	0.2079	0.09028	0	0.1133	0.03472	0.07639	0.05407	0.006944	0.3264	0.03481	0	0.06944	0.1493	0	0
_D:	0	122	20.16	0.4307	0.007831	0.2535	0.7465	0.7505	0.2671	0.005343	0.3068	0.6932	0.6457	0.1291	0.3257	0.148	0.3232	0.2208	0.5519	0.2576	0.5413	0.8739	0.6784	0.8547	0.6814	0.2055	0.09028	0	0.1145	0.04167	0.07639	0.05505	0	0.2847	0.03504	0	0.1042	0.1479	0	0
_D:	0	123	20.1	0.4077	0.007413	0.2373	0.7627	0.7687	0.2764	0.005528	0.3142	0.6858	0.6402	0.1091	0.3384	0.142	0.299	0.1804	0.5903	0.2506	0.5051	0.8963	0.6668	0.8587	0.7124	0.2062	0.06944	0	0.1138	0.02083	0.07639	0.05471	0	0.2847	0.03505	0	0.09028	0.1501	0	0
_D:	0	124	20.14	0.4382	0.007967	0.2582	0.7418	0.751	0.2854	0.005708	0.3225	0.6775	0.6364	0.1325	0.3082	0.134	0.3513	0.2095	0.5354	0.2282	0.595	0.8791	0.6972	0.8714	0.6605	0.2071	0.08333	0	0.1143	0.03472	0.08333	0.05643	0.01389	0.3264	0.03463	0	0.1111	0.1498	0	0
_D:	0	125	20.11	0.3978	0.007232	0.2304	0.7696	0.7725	0.2637	0.005274	0.2944	0.7056	0.6536	0.1046	0.2766	0.14	0.2872	0.1644	0.4892	0.2477	0.4882	0.9018	0.7232	0.8592	0.7197	0.2071	0.08333	0	0.1141	0.04167	0.07639	0.05371	0	0.2708	0.03514	0	0.07639	0.1487	0	0
_D:	0	126	20.13	0.4031	0.007329	0.2308	0.7692	0.7738	0.2494	0.004988	0.2856	0.7144	0.6668	0.1175	0.2759	0.126	0.3053	0.204	0.4829	0.2265	0.5251	0.8847	0.7297	0.8734	0.7046	0.2079	0.09722	0	0.1142	0.03472	0.06944	0.05325	0	0.3611	0.03503	0	0.09028	0.1491	0	0
_D:	0	127	20.14	0.3864	0.007026	0.2242	0.7758	0.7794	0.2947	0.005893	0.3244	0.6756	0.6251	0.1013	0.2766	0.122	0.297	0.1728	0.4781	0.2161	0.5045	0.8993	0.7286	0.8785	0.7095	0.2078	0.09722	0	0.1139	0.02778	0.08333	0.05371	0	0.3542	0.03501	0	0.09722	0.1504	0	0
_D:	0	128	20.13	0.3811	0.006929	0.2253	0.7747	0.7758	0.2749	0.005497	0.3292	0.6708	0.6333	0.1018	0.3014	0.118	0.3051	0.1654	0.5166	0.2046	0.5096	0.8995	0.6994	0.8835	0.6953	0.2068	0.09722	0	0.1144	0.03472	0.07639	0.05406	0.006944	0.3472	0.0352	0	0.08333	0.1485	0	0.006944
_D:	0	129	20.1	0.4025	0.007318	0.2506	0.7494	0.7656	0.2589	0.005179	0.311	0.689	0.6428	0.1268	0.3067	0.14	0.3274	0.1949	0.5002	0.2409	0.5054	0.8808	0.7136	0.8639	0.7003	0.2053	0.06944	0	0.1144	0.04861	0.05556	0.05512	0	0.3056	0.03502	0	0.09028	0.1483	0	0.006944
_D:	0	130	20.02	0.3911	0.007111	0.2264	0.7736	0.7771	0.2789	0.005579	0.324	0.676	0.6352	0.09551	0.2709	0.128	0.2937	0.1546	0.4748	0.2234	0.5045	0.9103	0.7305	0.8735	0.7115	0.2066	0.07639	0	0.1146	0.03472	0.05556	0.05366	0	0.3333	0.03522	0	0.09722	0.1476	0	0.006944
_D:	0	131	20.1	0.3299	0.005998	0.1967	0.8033	0.8135	0.2792	0.005584	0.3153	0.6847	0.6353	0.08855	0.2682	0.11	0.2577	0.1387	0.4605	0.196	0.4174	0.9238	0.7372	0.8893	0.7638	0.2065	0.0625	0	0.1144	0.02083	0.06944	0.05512	0	0.3056	0.0349	0	0.09028	0.1485	0	0
_D:	0	132	20.04	0.3799	0.006907	0.2201	0.7799	0.784	0.2747	0.005493	0.3196	0.6804	0.6326	0.09091	0.2967	0.124	0.2861	0.1523	0.5165	0.2171	0.4898	0.9132	0.7064	0.8771	0.7208	0.2076	0.08333	0	0.1146	0.03472	0.05556	0.05441	0	0.3333	0.03503	0	0.0625	0.149	0	0
_D:	0	133	20.07	0.3331	0.006056	0.1901	0.8099	0.8129	0.2438	0.004877	0.2868	0.7132	0.6654	0.1075	0.2333	0.098	0.2596	0.1827	0.4145	0.1739	0.4521	0.897	0.7675	0.9019	0.7466	0.2059	0.09028	0	0.1144	0.02778	0.05556	0.05414	0	0.2778	0.0354	0	0.09028	0.1477	0	0
_D:	0	134	20.16	0.398	0.007236	0.2226	0.7774	0.7806	0.2521	0.005041	0.2961	0.7039	0.6598	0.09158	0.2851	0.14	0.2709	0.151	0.5201	0.2555	0.4775	0.9179	0.7124	0.8575	0.7388	0.205	0.08333	0	0.1144	0.02083	0.0625	0.05463	0	0.2917	0.03519	0	0.06944	0.1495	0	0
_D:	0	135	20.06	0.3448	0.00627	0.2	0.8	0.8039	0.2852	0.005705	0.3251	0.6749	0.6338	0.1121	0.2402	0.1	0.2759	0.1857	0.4214	0.1736	0.4742	0.8921	0.7626	0.9032	0.7278	0.2078	0.07639	0	0.1144	0.02778	0.04167	0.05405	0	0.3056	0.03529	0	0.08333	0.1491	0	0
_D:	0	136	20.04	0.3654	0.006643	0.2081	0.7919	0.7946	0.2562	0.005124	0.3102	0.6898	0.6525	0.09459	0.2739	0.108	0.2824	0.1564	0.4907	0.1941	0.4903	0.9108	0.7254	0.8917	0.7232	0.2077	0.07639	0	0.1144	0.02083	0.04861	0.05419	0.006944	0.3472	0.03493	0	0.1042	0.1491	0	0
_D:	0	137	20.09	0.3605	0.006554	0.2093	0.7907	0.798	0.2711	0.005422	0.3057	0.6943	0.6449	0.105	0.2706	0.112	0.2799	0.1782	0.4688	0.1915	0.4837	0.8962	0.7414	0.8928	0.7288	0.2065	0.09028	0	0.1147	0.01389	0.04861	0.05439	0.006944	0.3403	0.03533	0	0.06944	0.1492	0	0
_D:	0	138	20.07	0.3976	0.007229	0.2276	0.7724	0.7737	0.2802	0.005603	0.3109	0.6891	0.6313	0.1192	0.2877	0.126	0.2992	0.1862	0.5254	0.2229	0.5192	0.8881	0.707	0.8768	0.6997	0.206	0.07639	0	0.1146	0.02778	0.05556	0.05543	0	0.2986	0.03513	0	0.05556	0.149	0	0.006944
_D:	0	139	20.08	0.3925	0.007136	0.2262	0.7738	0.7763	0.2772	0.005544	0.2976	0.7024	0.6415	0.1258	0.2817	0.106	0.323	0.2053	0.5029	0.184	0.5604	0.8831	0.7132	0.8954	0.6801	0.2068	0.09722	0	0.1148	0.02083	0.04167	0.05453	0	0.3125	0.03513	0	0.0625	0.1492	0	0
_D:	0	140	20.12	0.3786	0.006883	0.2238	0.7762	0.786	0.2784	0.005568	0.3098	0.6902	0.6407	0.1184	0.2968	0.138	0.2762	0.1881	0.5169	0.2477	0.4491	0.8895	0.713	0.8633	0.742	0.2053	0.07639	0	0.1152	0.02778	0.04167	0.05484	0	0.3194	0.03493	0	0.08333	0.1475	0	0
_D:	0	141	20.04	0.3769	0.006854	0.2121	0.7879	0.7884	0.2795	0.005591	0.3139	0.6861	0.636	0.08028	0.2917	0.14	0.25	0.1402	0.5206	0.2505	0.4421	0.9182	0.7108	0.8608	0.7501	0.2063	0.06944	0	0.1148	0.02778	0.04167	0.05505	0	0.3194	0.03523	0	0.05556	0.1491	0	0
